questions,answers
Scale on ficus indian  Fig tree (Ficus lyrata) Insect infestation Scale ,Apply multiple times of White summer oil or Horticultural oil  Systemic pesticide; Horticultural oil/white oil
Fittonia leaves are dropping Fittonia Leaf dropping ,Increase watering 
Propagation - How to propagate Fittonia? Fittonia  ,Stem cutting 
"My Fittonia is dying, leaves are dropping Fittonia Leaf dropping ",Too much water   
Propagation - How to propagate by cutting? Flame of the Forest  , 
mealybug control frangipani  Mealybug,"dishwashing soap 2% with low infestation, removal of infested leaves White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)"
"How to get rid of mealy bugs? Frangipani, Unknown Plants  Mealybug",Spray with 1L water mixed with 1 teaspoon vegetable oil (to block breathing holes) and 1 teaspoon of dishwashing liquid (to help dissolve the waxy covering). Consider whether the plant is suitable for  Spray with 1L water mixed with 1 teaspoon vegetable oil (to block breathing holes) and 1 teaspoon of dishwashing liquid (to help dissolve the waxy covering). 
Galls on leaves of fruit trees Fruit trees Galling Likely mite or psyllid (jumping plant lice),Likely mites or psyllids (jumping plant lice). Removal of infested leaves if possible.  
Fungus growing on gardenia Gardenia  Fungus,apply fungicide  Fungicide
Gardenia buds dropping  Gardenia  Buds dropping  ,Fertilize. Place where it can get more sun  
Gardenia scrawny and spread everywhere. Gardenia   ,Suggest to trim Gardenia and fertilize more shrubby growth. 
The amount of water given? Garlic  ,Continue to water the plants regularly and use well drained soil. 
"How to get rid of lime butterfly caterpillar, milipede and slugs General Chewd leaves Lime butterfly caterpillar, milipede and slugs","Lime butterfly caterpillar and Milipede - remove by hand or neem oil. Slugs use eggshells, bait traps.  Neem oil for caterpillar; eggshells/bait traps for slugs. "
Gerbera flower has yellow leaves Gerbera Yellowing leaves ,Not enough water. Increase watering 
Insect ID Ginger  Gonophora sp.,Gonophora sp. 
Drying ( Placed under full sun and strong wind) Ginger Drying up ,Possibly burn due to exposing to full sun  
Ways how to plant ginger Ginger  ,Use sandy soil  and do not over water. 
Cultivation - How to grow gomphrena? Gomphrena  ,"Full sun ,water "
Propagation - How to grow grass? Grass  ,Buy grass seeds from nursery  
Guava is planted on the ground appears to have spots on leaves. Guava Spots on leaves ,This is due to putting to much fertilizer and causing burn. 
How should I wrap my developing guava fruit? Guava  ,You can use newspaper but you will need to change it frequently. Or you can use plastic or mesh with small holes to let air circulate. 
" Hai tang (Begonia)  Caterpillar, Mealybug,  Millipede ",Give spot application of recommended insecticides. Imidacloprid or acetamaprid or acetamaprid + chlorpyrifos 
What are the growing conditions? Hanelia  ,"Full sun, Prune "
Haworthia watering frequency Haworthia  ,One per month still cannot kill a plant. 
What to do when plant is healthy but not flowering? Heliconia 'Sexy Pink' Not flowering ,to fertilize(drill hole method) with fertilizers that promote flowering. 
 Heliconia 'Sexy Pink' Not flowering ,Need sunlight 
Cultivation - How to grow Herbs in the kitchen? Herbs  ,"Indoors, you may need supplemental lighting. "
How to grow herbs? What sort of conditions should we put them in? Herbs  , 
Hibiscus aphids problem Hibiscus  Aphid,Send plants to NParks. Diluted soap water
 Hibiscus  Grasshopper, Systemic pesticide
hibiscus stem affected by whitish furry creature Hibiscus Whitish furry creature Mealybug,"mealybugs. Use neem oil, mama lemon, garlic + chili pound White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)"
How to control cotton mealybugs Hibiscus Sooty mould Mealybug,"The cotton mealybug has a wide morphological diversity and biological adaptations to suit varied ecological conditions and this gives them a high capacity to feed on different host plants, including plant species of economic importance belonging to the families Cucurbitaceae, Fabaceae and Solanaceae. This mealy bug was seen infesting Hibiscus sp in Singapore.
Weaken the plants by sucking sap from leaves, twigs, stems, roots and fruiting bodies. Honey dew secreted by the pest encourages development of black sooty mould which adversely affect photosynthetic activity.
Give spot application of recommended insecticides would be useful in controlling.

Coccinellid beetles, wasps, etc, which are important predators of mealy bug nymphs. Imidacloprid or acetamaprid or acetamaprid + chlorpyrifos "
 Hibiscus  Mealybug,Give spot application of recommended insecticides. Imidacloprid or acetamaprid or acetamaprid + chlorpyrifos 
Scale infestation Hibiscus  Scale,Spray Systemic pesticide; Horticultural oil/white oil
Scale on hibiscus Hibiscus  Scale ,"White summer oil, balance nutrients, high K and banana peels Systemic pesticide; Horticultural oil/white oil"
Yellow spots in hibiscus Hibiscus Yellow spots on leaves Virus,"Virus, prune away affected leaves. Do not reuse the soil. "
Hibiscus has white flies on plant. Hibiscus  Whitefly,Spray DIY Chili and soap mix water to the leaves of plants Pesticide
What to do when there is to much white fly? Hibiscus  Whitefly,Spray with insecticide. Pesticide
 Hibiscus  Larvae,Spray with organic pesticide. 
Cultivation - Can hibiscus be planted indoors? Hibiscus  ,Better to be under the sun. 
Hibiscus acetone can be eaten? Hibiscus  ,Small amount of leaves. Flower not sure. 
How to maintain hibiscus? Hibiscus  ,More sunlight 
Pest and disease for Hibiscus plant Hibiscus  ,General advice on pest control. 
Why does the Hibiscus bud drop? Hibiscus Buds dropping ,May be due to plant being from a sub-tropical climate or not enough potassium. 
 Hibiscus Wilting leaves (shrink and turns less green) ,Give it enough water needed. 
Holy basil died after 3 days of purchase Holy Basil (Ocimum basilicum) Necrosis (dying) ,Need more water with good drainage 
Chameleon Plant not doing well Houttuynia cordata Not doing well , 
How to get my Hoya to flower Hoya Not flowering ,fertilise once every 1-2 months; reduce water and fertiliser to induce flowering 
Hoya flower buds plant keep dropping  Hoya Flower buds dropping ,To stop moving the plant around as the flowers are delicate. 
Hoya is shriveling Hoya Wrinkle leaves ,Lack of water. Increase watering 
How to take care of Huperizia  Huperizia  ,Regularly mist and fertilize 
Huperzia- leaves turn brown at the tips - Level 17 balcony. Huperzia  ,Location too windy. Place plant in a wind-shielded area 
 Hydrangea Whitish furry creature Mealybug ,Give spot application of recommended insecticides. Imidacloprid or acetamaprid or acetamaprid + chlorpyrifos 
Hydrangea .How to change to red? Hydrangea  ,"Add more egg shells, CaCo  "
Hydrangea leaves turns brown  Hydrangea Browning leaves ,Lack of water 
Hydrangea not flowering Hydrangea Not flowering ,Hydrangeas are from cold regions and need to accumulate certain numbers of chilling hours to stimulate flowering 
Is my plant going to survive after being eaten by a rat? Impatiens balsamina and Alternanthera cv  Rat,"Re-pot the remaining seedlings deeper in the soil. Place under the original growing conditions, as it seems to do worse under the grow light. "
Sun spots on India borage  Indian borage Sun spots ,Water soil not leaves. 
"Edible plant palette Indian lettuce, Indian spinach, False teragon, Red cylon spinach  ",Edible plants 
 Ionantha Browning leaf tip ,Increase watering (spraying) 
 Ipomea  ,Trim away the leaves when the colour of the leaves begin the change. 
"White flies on ipomea ,tomato ,Lady's Finger plant Ipomea ,tomato ,Lady's Finger plant  Whitefly","Spray DIY Chili and soap mix water to the leaves of plants, companion planting; grow under mesh cover DIY Chili and soap mix"
Plant ID Ipomea family (climbing weed)  , 
 Ipomoea batatas 'Black Heart' Reverting colour of leaves from purple to dark green ,Grow purple tuber? 
One stretch of ixora doing well while the other stretch of ixora not doing well. Ixora  ,"Might be waterlogged soil ,to remove one ixora plant and check the root system. "
 Ixora Not flowering ,"Prune lightly, fertilize few days later. "
How long to wait to eat jackfruit after applying contact pesticide?  Jackfruit  ,Best to wait 2 - 4 weeks before eating the jackfruit after organic pesticide is applied.  
Jackfruit not growing 8 months after planting Jackfruit Not fruiting ,To fertilise  
Jade plant turned black Jade plant Plant turned black ,"Doesn’t grow well in Singapore, not adapted to our climate. "
Why my Jade plant leave ? Jade plant  ,Increase watering 
Beetle larvae attacking jambu bandor  Jambu  Beetle,Edible tree should not be sprayed. Accept low level damage. 
How to fertilise a Jambu tree (Syzygium aqueum) so that flowers and fruits will form? Jambu Not flowering/fruiting ,Apply chicken manure and a fertiliser enriched with phosphorous and potassium. Mulch the base of the tree. The tree may not be mature enough to bear fruit yet.  
"Why did my jambu have only a few fruits and why did the flower kept dropping? Jambu Few fruits, flower dropping  ",Nor enough pollinators. Put honey on stem to attract bees.  
Unhealthy Japanese bamboo  Japanese bamboo Not growing well ,Add fungicide .Do not put fertilizer at the moment 
Cultivation -  jasmine plant. How to grow and take care ? Jasmine  ,Explained the cultivation management of jasmine plant  
Cultivation - Can I plant jasmine plant indoors? Jasmine  ,Jasmine plant needs at least 6 hours of sunlight  
Flower buds drop before opening Jasmine Flower buds dropping , most likely too much water. 
Jasmine in pot root  bound Jasmine  ,Throw roots and stems 
Propagation - How to propagate by stem cutting? Juniperus chinensis  ,Dig the end to rooting hormone 
How to heal the plant? Kaffir Lime  ,Stop water everyday as the soil is to moist. Remove the leaf with the leaf miners and observe. 
What to do if the plant is still very small after planted a year? Kaffir Lime Not growing well ,Relocate the plant to sunrise locations. 
Kaffir plant grown from seed attracted by caterpillars  Kaffir plant  Caterpillar,"Manually remove during AM as they are attracted in AM, so easy to see. "
Kalian has leaf miner infestation. Kailan Trailing on leaf Leaf miner,Cut away affected area. Use neem oil to disrupt life cycle of leaf miner Neem oil / white oil; yellow sticky traps
Kailan leaves infested with Mealybug Kailan Whitish furry creature Mealybug,Cut it off. White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
 Kailan Seed not sprouting ,Do not over water the plant. 
Plant ID Kalanchoe pinnata   , 
The leaves of kale is limp. Kale Wilting leaves ,overwatering? 
Thinning and elongated stems Kale Thinning and elongated stems ,Place under full sun and fertilise 
Roadside tree to replace the huge Khaya Khaya   ,"Hopea is evergreen, leaves wont shed in large volume at one time  "
Kopsia turning white Kopsia Plant turning white ,apply balanced fertilizer every two weeks  
White cottony spots  Lady's Finger White cottony spots  Fungus (Mildew),Likely powdery mildew as no flying insects were observed by Enquirer 
What is the white stuff on my Lady's Finger? Lady's Finger white stuff Mealybug,Mealy bug 
 Lady's Finger  Orange flying insects,"Crop rotation, full sun, 3/4 days ,watering everyday, fertilization organic compost "
Lady's Finger not growing  Lady's Finger Not growing well ,Put in N fertilizer to level pH 
Lady's Finger seed does not sprout Lady's Finger  ,Might be premature 
Yellow and black spots on Lady's Fingers leaves Lady's Finger Yellowing leaves with  black spots ,Prune away and fertilize to boost and grow the plant. But could be attack by bacteria 
Lady's Finger not growing well. Lady's Finger  ,Request for sunlight. Once every 3 days/ twice a week 
Cultivation - How to grow laksa plant? Laksa  ,"4-6 hr of direct sun, well watered, well drained soil. "
Laksa leaves /stem dying out after division. Laksa Necrosis (dying) ,"Root injured, remove dead drying stem/leaves. Water regularly. "
Laksa leaves turning yellow Laksa Yellowing leaves ,"Add more water. Needs more water then basil, mint "
Why are their black spots under the Laksa Leaf plant? Laksa leaf  ,"Could be an insect, wash it away with water, and monitor for re-infection "
How to get rid of Mealybug? Lantana Whitish furry creature Mealybug,Give spot application of recommended insecticides. Imidacloprid or acetamaprid or acetamaprid + chlorpyrifos 
Leaves turn brown at the edge. Changed soil. Large leaf shade plant. Browing leaf margin ,Nutrient uptake affected. Improve soil condition with organic compost. 
Why does my lavender have black spots? Lavender black spots ,Possibly a virus. Need to do a lab test to confirm. 
 Leafy vegetables  Orange flying insects,"Crop rotation, full sun, 3/4 days ,watering everyday, fertilization organic compost "
 Legume  Virus, 
Lemon plant not fruiting Lemon Not fruiting ,"To switch fertiliser, to increase the Phosphorus a little. "
Plant ID Lemon    ,Lemon plant.  
 Lemon balm  Larvae (Fungus gnat),Lay 1 thin layer of sand. Make sure soil gets to dry in between watering session. Bt-i
Lemon balm in leca -sooty mould and Mealybug Lemon balm Sooty mould Mealybug & Sooty mould ,Provide light and fertilizer White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
Leaves started to turn yellow and drop after  a few month after repotting Lemon balm Necrosis (dying) , 
Lemon balm in hydroponics Lemon balm  ,Suggested it is due to the recent hot weather. 
Lemon balm water stressed Lemon balm  ,Advised to reduce watering 
What is going on with my plant ?  Lemon Basil (Ocimum basilicum)   Fungus (Sooty mould) ,Reduce watering (alternate days) . Apply organic fertilizer the photo is not clear but it looks like a sooty mould 
Where can I buy mosquito repellent plant? Lemon Grass  ,Lemon grass. Not affective unless crush leaves and applied on skin. 
"Lemon mint, black edges Lemon mint Black edges ",Too hot   
Does lemon grow in Singapore? Is NParks selling it? Lemon plant   ,"It grows in Singapore. Not selling, can buy at other stall.  "
Lemon tree not fruiting  Lemon tree Not fruiting ,"Need full sun, well drainage soil. Fertilizer  "
Lemon tree not growing Lemon tree Not growing well ,"Temperature, unlikely to may not produce fruit. "
Propagation - How do I germinate lettuce seeds? Lettuce  ,"Moisten the soil, sow seed, cover with a thin layer of soil, remoisten with spray bottle and apply cling wrap to pot to maintain moisture, alternatively sow on moist paper towls, place in a cool, dark place and watch out for mould "
Lettuce turning bitter Lettuce Taste bitter ,Plant a new one because its too old. 
Why is my lettuce that are growing in hydroponics taste sour/bitter? Lettuce Taste bitter ,Could be due to high temperature. Bring down air/ water temperature. 
 Licuala  Necrosis (dying) ,Move the palm to place with more sunlight and water a bit more.  
Lime caterpillar infested consulted on herbs display Lime  Caterpillar,Hand pick caterpillar and put lavender under sun. 
How to get rid of mealybugs? Lime Whitish furry creature Mealybug,Wiping down infested leaves with lukewarm water. White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
Lime plant not flowering Lime Not flowering ,Feed with fertilizer to promote flowering; keep the plant in full sun; Water regularly 
Lime plant shed leaves Lime Shedding leaves ,Lime is sensitive to water (hot weather recently )Increase water and fertilize. 
"Lime plant, yellowing leaves Lime  Yellowing leaves ",Water more .Check if roots are rotting. 
Propagation - How to propagate lime? Lime   ,Through stem cutting semi mature wood. 
Lime tree turning yellow  Lime tree Yellowing leaves ,Use loose soil media. Apply fruiting fertilizer  
How to take care on Lithop? Lithop Whitish furry creature Mealybug,"Full sun, minimum watering. Give spot application of recommended insecticides. Imidacloprid or acetamaprid or acetamaprid + chlorpyrifos "
 Long bean  Orange flying insects,"Crop rotation, full sun, 3/4 days ,watering everyday, fertilization organic compost "
 Long bean  Spider mite,Apply soapy water Neem; Soapy water
Long bean yellow scorched Long bean Scorched fruits ,Put in bright indirect sunlight. Add balance fertilizer. 
My long bean have brown leaves Long bean Browning leaves ,"Might be old leaves, just remove the leaves "
Longan attracted by beetles Longan  Beetle,"Cant control because its an edible, only systematic pesticide  "
Lotus not growing well Lotus Not growing well ,Either too much fertilizer or too little fertilizer. 
"Why is my lotus plant wilting with necrotic tissue on the leaf margin? Lotus wilting leaves, tissue on the leaf margin dying ",The water the plant is in may be contaminated. Change the water and growing medium and dispose of the affected plants. 
Yellow and brown spotted leaves of Ludwigia Ludwigia Yellowing/browning leaves ,Not enough sunlight   
Why Madagascar periwinkle plant has curl leaves and dying? Madagascar periwinkle Curling leaves and dying ,Could be due to virus or fungal attack. 
Cermai not fruiting Malay gooseberry Not fruiting ,"plant still too young as it is only 1 year old at most. Need to wait until at least 3 years, apply fertilizer higher in K. "
Mango borers found in trunk.  Mango  Borer,Apply systemic pesticide  Systemic pesticide
How to get rid of grub worm from fruits?  Mango  Grub worm,Wrap up fruit before they start to ripe 
Cultivation - How to grow Mango Mango   ,"Full sun, moderate water, grafted is faster than growing from seeds "
Why does my Indonesian Mango plant not fruit after grafting for 2 years. Mango (Grafted; Indonesian) Not fruiting , 
Mango and Guava not fruiting despite being mature  Mango and Guava Not fruiting ,add fertiliser 
Mango weevils seen Mango tree  Weevil,Wrap fruit in news paper 
How to prevent mango from getting worms? Mango tree  Larvae,Wrap fruit in newspaper 
Mango care and fruit aborted Mango tree Fruit dropping ,Increase fertilizer and watering 
Mango fruit turn brown Mango tree Browning leaves ,Bacteria/fungi enter through the cut. Store in a cooler environment.  
Mango tree don't flower after maturity Mango tree Not flowering ,Apply chicken manure and a fertiliser enriched with phosphorous and potassium. Mulch the base of the tree. Could be that the tree is getting too much water. 
What to do if mango trees are affected by maggots? Mango tree  ,Wrap the young fruits until it reach harvesting size. 
Why mango tree does not fruit after planted 5-7 years ago. Tree planted from seed has money plant epiphytes. Mango tree Not fruiting ,Tree germinated from seed tends to fruit later then grafted tree. Epiphytes not a concern. So informed resident it is normal that the mango has not fruit. 
Plant paletter for growing in brackish water? Mangroves  ,Back end Mangroves 
Maple leaves have Mealybug Maple tree Whitish furry creature Mealybug ,Give spot application of recommended insecticides. Imidacloprid or acetamaprid or acetamaprid + chlorpyrifos 
Maple tree keep on shedding leaves. Maple tree Shedding leaves ,Improve in natural fertilizer to improve health 
Cultivation - Can I grow marigold indoors? Marigold (Tagetes lemmonii)  ,It is meant to be grown outdoors and will not grow as well as indoors. 
Propagation - How to propagate melon seeds? Melon  ,"Germinate in humid conditions, transplant outdoors "
 Melon  Whitish spot on leaves ,Use different type of seeds 
"Plant ID Mentha arvensis, Plectranthus amboinicus  ",Likely Mentha arvensis and Plectranthus amboinicus (small-leafed variety) 
mint is laggy Mentha species Fewer leaves ,do stem cutting 
Mesona-must it be dried first Mesona  ,Yes 
Mexican coriander cutting in water Mexican coriander  ,Wait for a month for the root to grow. Cover with plastic bag to have humidity. Do not disturb while in water. 
 Mint Whitish furry creature Mealybug,Grow in pots or raised bed White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
Mites problem on mint plant Mint  Mite,"Home remedy: white summer oil, neem oil, organic soap White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)"
How to stop mint from drying Mint  ,Put in semi-shade 
Propagation - Can mint seed germinate in the dark? Mint  ,"Indoors is fine, however it takes 10- 15 days "
Propagation - Why didn't my mint cuttings form roots?  Mint  ,"Cuttings should be placed in water immediately. If not possible, place them in a sealed plastic bag, avoid direct light or heat and try to promptly process the cutting. Recut the ends before placing in water. "
Ants in my mint  Mint   ,Use H2O to mix with the water to treat the plant. 
Cultivation - How to grow Mint plant? Mint   ,Put at least 4 hr sunlight 
How to take care of mint? Mint   ,"Full sun, semi-shade, water with good drainage, propagate via stem cutting "
Mint died after 3 days of purchase Mint  Necrosis (dying) ,Need more water with good drainage 
Mint is drying up Mint  Drying up ,Put it in semi shade 
Mint leaf dropping Mint  Leaf dropping ,Move from windy spot 
Mint leggy Mint  Elongated stem ,Stem cutting 
Mint plant turns brown Mint  Browning leaves ,Repot to a bigger pot 
What to do when the soil is sticky? Mint  Sticky soil ,"Try to get a pre mix soil from nurseries, to help the damage. "
Why is my mint difficult to grow? Mint   ,Mint is suppose to be watered daily 
Why is my mint leaves turning yellow? Mint  Yellowing leaves ,Shift to an area with more sunlight. Fertilise the plant.  
How frequently can I apply white summer oil/neem oil? Mint (Peppermint)  ,Everyday until no insects are seen on the plant. White summer oil/ Neem oil
Plant ID Mitrephora keithii  , 
"Aphids/Mealybug/ ""dollar"" spots on money plant Money plant ""dollar"" spots Aphid, Mealybug",Cut away/ remove it  and spray neem oil White summer oil
" Money Plant Hard scale, white spots in soil. Mealybug (soil)", Imidacloprid or acetamaprid or acetamaprid + chlorpyrifos 
Cultivation - How to grow money plant? Money plant  ,Wrong soil use. Plastic bag is use in the pot not drainage. 
How to make money plant grow faster to cover the roots? Money plant  ,Fertilize with high N 
Money leaves yellowing Money plant Yellowing leaves ,"Repot ,less water. "
Money plant has yellow streaks. Money plant Yellow streaks ,Could be virus. To cut off the infected part aseptically. 
Money plant with blackened tips and lines. Money plant Blackened tips and lines ,Leaves crushed before mechanical injury 
Plant ID Money plant  ,Pilea .Suggest to refer to FFW for more help. 
Propagation - How to grow money plant? Money plant  ,Stem cutting 
The money plant in the office has yellow leaves Money plant Yellowing leaves ,Ensure soil is not compact. Ensure the aeration on weekends. 
White patterns on money plant Money plant  ,Cut away 
Why my money plant has yellow leaves? Money plant Yellowing leaves ,They are old leaves. Just remove it 
Monstera has aphids Monstera  Aphid,"Use neem oil, garlic spray ,less fertilizer Diluted soap water"
Monstera have yellow outline at the end of the leaves. Monstera Yellow edges ,Nitrogen deficiency. 
"Monstera leaves limp, but growing new leaves. Monstera Wilting leaves ",Not enough water. 
Monstera leaves limp. Monstera Wilting leaves ,To cut off the old leaves. 
Monstera with yellowing leaf tips Monstera Yellowing ,Fertilise with higher nitrogen  
When to cut the leaves? Monstera  ,Cut the old leaves away. 
"yellowing, rot and sudden death of plants Monstera Yellowing then sudden death ",Suggested to email nparks plant info and send photos of infested plants/specimen for lab diagnosis 
"scales on infested leaves, natural and pesticide to be used Monstera sp.  Oystershell scale","removal of infested leaves, horticultural oil, recommended to use Dimethoate 24% but advised that this must be applied by registered pesticide operator horticultural oil"
Moringa. Why my leave sleeping? Moringa Sleeping leaves ,Not enough sunlight and the pot is too small 
Moringa oleifera plant turning yellow with black spots. Moringa oleifera Yellowing leaves with  black spots ,May be due to fungal attack. 
Morning glory attack by Mealybug Morning Glory Whitish furry creature Mealybug,Give spot application of recommended insecticides. Imidacloprid or acetamaprid or acetamaprid + chlorpyrifos 
"morning glory leaves turn yellow at the base when just bought from shop, now okay Morning Glory Yellowing leaves ",Sign of old leaves or shock 
Yellow leaves on morning glory Morning Glory Yellowing leaves ,Might be the older leaves 
Mulberry is not fruiting Morus alba Not fruiting ,"May be still young, start using light PK fertiliser "
Mosquito plant has brown edge Mosquito plant Browning leaf margin , 
Moss got white worms. Can be strayed with neem oil on moss? Moss  Larvae (Fungus gnat),Moss is delicate to advise not to use neem oil. Bt-i
 Mulberry Whitish furry creature Mealybug,Application dilute dish wash and neem oil. White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
Mulberry has white insect  Mulberry  White insect,"Use compost, banana peel, fish emulsion. "
How to treat white flies on mulberry? Mulberry  Whitefly,Spray DIY Chili and soap mix water to the leaves of plants DIY Chili and soap mix
Cultivation - How to grow mulberry? Mulberry  ,Well drainage and fertilized soil. 
Maintenance of Mulberry? Mulberry  ,Regular pruning to maintain height 
"Mulberry ,when to repot to a bigger pot. How to control the growth? Mulberry  ",Pruning when reach desire height 
Mulberry leave shrinking  Mulberry Shrinking leaves ,Use neem oil 
Mulberry leaves are dying Mulberry Drying leaves ,They do not have chlorophyll. Possibly over fertilizing resulting invalauce of nutrients. 
Mulberry not growing well. Mulberry Not growing well ,Need more sunlight and water. 
What to do when it is not fruiting? Mulberry Not fruiting ,Need pollinators 
Yellow spots on mulberry leaves. Mulberry Yellow spots on leaves ,Cut off affected leaves. Pump fertilizer to boost health. 
Muraya black mould on the leaves Muraya Black mould on leaves Fungus (Black mould),Apply organic oil 
 Muraya paniculata  Whitish furry creature Mealybug ,Give spot application of recommended insecticides. Imidacloprid or acetamaprid or acetamaprid + chlorpyrifos 
Is Murraya a good hedge ? Murraya  ,"Yes, dense foliage. "
Murraya pest Murraya Fungal spots ,Fungal spot. Prune all  
mushroom plant is yellow Mushroom Plant (Rungia klossii) Yellowing leaves ,exposed to too much sun. need to move it to a place with semi shade.  
Why my mustard have silvery spots on the leave ? Mustard Silvery spots ,Should be mites. Spray with neem oil or organic spices. 
Can Neem plant repel pests? Neem Tree  ,The whole plant does not repel pests. The plant part needs to be processed to make neem oil which repels pests. 
Propagation - How to propagate neem tree? Neem tree  ,Just cut the plant at the stem and soak in water till it root.  
Where to buy neem tree seeds? Neem tree  ,Not to sure 
Nematodes in potted plants causing root knot. Nematodes Root knot Nematode,If the whole plant is stunted. Remove the soil. 
What are the small crystal like things under okra leaves? Okra Crystals formation ,Calcium oxalate. Crystals form by fluids released by the leaf pores. They will drop off in time. 
Can olive grow in Singapore? Olive  ,"It wont grow well, but can try if can control the environment. "
Onions not growing well Onion Not growing well ,Place plant under full sun 
"Palm leafs being eaten. Orchid not growing well. Orchid Chewed leaves Beetle, grasshopper",Suspect beetle and grasshopper. 
How to treat fungal spot on orchid leaves Orchid Fungal spots Fungus,Remove affected leaves; Spray fungicides 
Orchid seeds not growing well Orchid Not growing well Fungus,Fungus attack the roots 
Rust  on orchid Orchid  Fungus (Rust),Use fungicide  Fungicide
Spider mites on orchids. Orchid  Spider mite,Refer to OSSEA booth Soapy water
How to get rid of yellow bugs on orchid? Orchid  Yellow bug,Spray  
Bamboo orchid forms buds but blacken and drop off Orchid Flower buds dropping ,Clayey soil is not well-drained; grow in pots 
Black spot on orchid leaves. Orchid Black spots on leaves ,Fungicides 
Brown rot Orchid  , 
Cultivation - How to grow orchids? Orchid  ,Ensure sufficient sunlight for flowering and fertilizer. 
Flower attack by pest? Orchid  ,No  
Fungal spot on orchid Orchid Spots ,Spray fungicide on orchids or remove affected areas. 
How to fertilize orchids? Orchid  ,Half strength orchids fertilize weekly. 
How to make Orchid bloom? Orchid  ,Spray with Orchid fertilizer regularly  
How to mount the orchid on the tree trunk ? Orchid  ,Using coconut husk and tie to the trunk of the tree.  
How to take care of orchids? Orchid  ,"If not 2 native species, its difficult to make it flower. Water every 3 days. "
Orchid has brown spots on leaf. Orchid Brown spots on leaves ,"Do not water too frequently, needs time to dry out. "
Orchid leaves lumpy after applying fertilizer Orchid  ,To much fertilizer 
Orchid tips Orchid Orchid tipping ,Do not over water 
Orchid wrinkled leave and weak vigour  Orchid Wrinkle leaves ,Not enough water. 
Orchids leaves are rotten Orchid Rotten leaves ,Possibly overwatering or bacteria attack. 
Orchids leaves are turning brown Orchid Browning leaves ,Drench with fungicide for several times. Check with orchid society. 
Plant ID Orchid  ,"2 orchids, 1 flowering plant. "
What media to use for orchids? Orchid  ,Charcoal and sphagnum mix 
What to do with the growth of my orchids? Orchid  ,Cut off with a blade and report in new charcoal. 
Why black spots appear on the leaves of orchid and at the edge of the leaves? Orchid Black spots on leaves ,Over fertilized. Over watered . Too hot 
Why is the orchid not flowering? Orchid Not flowering ,It takes time to flower; do not keep relocating 
Why my Orchid stems turn brown and die? Orchid Browning stems , 
Why my orchids leave turn yellow and drop all the leave? Orchid Yellowing/dropping leaves ,Might be too much water. Cut down on watering. 
Yellowing on orchid leaves Orchid Yellowing leaves ,Improve watering 
 Orchid Black spots on leaves ,Use a spray bottle to water the roots of the orchid 
 Orchid Rotten and dying ,Water once every 4 days 
 Orchid  ,Do not cut flower stalk 
orchid leaves have black spots Orchid  Black spots Fungus,don't water on the leaves 
How to get rid of the sooty mould on my orchid plant? Orchid   Fungus (Sooty mould) ,Just wash off the sooty mould  
Unknown orchid has wrinkled leaves Orchid (Cattleya) Wrinkle leaves ,"Protect from too much wind; Reduce fertilization, half strength weekly is too much, stop fertilizing for 3 months, then half strength once a month "
Dendrobium keiki stem turned black Orchid (Dendrobium)  Fungus,Clean off the fungus; The plant is stressed so repot the keikis in new media and discard the parents to prevent disease from spreading 
Dendrobium flowers are flat at first but later the petals curve Orchid (Dendrobium) Slightly wilted flowers ,Older flowers naturally become wilted and less firm 
How to get Dendrobium to flower Orchid (Dendrobium) Not flowering ,fertilise once every 1-2 months; reduce water and fertiliser to induce flowering 
 Orchid (Miniculture Dendrobium) Yellowing (from leaf tip to the whole leaf) ,Put sphagnum moss as there is no substance for water retention. 
Small tiny holes in the leaf Orchid (Phalaenopsis) Chewd leaves Insect,Possibly a sap-sucking insect; Remove the chewed leaves 
Phalaenopsis has wrinkled leaves Orchid (Phalaenopsis) Wrinkle leaves ,"Reduce fertilization, half strength weekly is too much, stop fertilizing for 3 months, then half strength once a month; when Phalaenopsis gets too much water, it turns yellow and rots "
Scales insect on Vanda Orchid (Vanda)  Scale,"Apply contact pesticide like neem oil, increase ventilation Systemic pesticide; Horticultural oil/white oil"
Propagation - How to propagate Vanda orchids? Orchid (Vanda)  ,Cut below roots and put in charcoal. 
mealybugs outside her window (Condo) that can cause potential threat to her plants orchids and other ornamentals  Mealybug,To inform owner to contact Condo management to treat infested palms with mealybugs. Advised to use horticultural oil instead of isopropyl alcohol to swabbed the pest. White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
